name|link|desc
AI Draw|https://ai-draw.tokyo/|images
AI Toolbox|https://aitoolbox.it/app-intelligenza-artificiale/|Elenco dei migliori servizi, best, top
AI Toolbox|https://aitoolbox.it/|elenco servizi
AI Writer|https://ai-writer.com/|Produce indici e trame di racconti, scrittura
API OpenAI|https://openai.com/api/|chatgpt api
Abridge||Healcare and administration capture audio during an appointment and then write up notes for the doctor to review. Per sbobinare appuntamenti per i medici, settore salute trascrizioni
Adcreative.it||
Adobe Firefly ||semplifica il processo di creazione di design visivamente accattivanti. intuitiva e semplice.
Adobe Podcast||se realizzi podcast, da un file audio realizzato in maniera non ottimale, anche registrato con il cellulare, lo strumento te lo trasforma in un file di alta qualità come se fosse stato registrato con strumentistica professionale #podcast. 
Adobe firefly|https://firefly.adobe.com|genera immagini funzione benissimo, anche video , audio e grafica vettoriale; podcaster; come midj x aziende
Ai tools|https://ai-tools.it/|elenco di servizi
Alternative Rask|https://alternativeto.net/software/rask-ai/|Rask Ai  enables you to translate videos from any language to English
Aluga |alugha.com|sottotitolo senza voci altrui alugha - The multilingual video toolkit to reach a global...  
Amazon bedrock|https://aws.amazon.com/it/bedrock/|Il modo più semplice per creare e scalare applicazioni di IA generativa con modelli di fondazione
Amberscript |https://www.amberscript.com/it/|sottotitola - trascrizioni podcast
Antrophic|https://www.anthropic.com/|Anthropic is an AI safety and research company based in San Francisco
Appen|https://www.appen.com/|Appen has been providing high-quality datasets that power the world's leading AI models for decades.
Apprendimento automatico (ML)
Appsumo|https://appsumo.com/|Elenco di offerte di servizi di AI acquisti in offerte una tantum senza abbonamenti
Artguru|https://www.artguru.ai/it/| genera immagini anche senza login buono
AskYourPDF|https://askyourpdf.com/|estrae informazioni lunghi documenti pdf
Audiopen|https://audiopen.ai|Go from fuzzy thought to clear text. Fast. AudioPen converts voice notes into text that's easy to read and ready to share.  Create meeting notes, memos, emails, articles and more. All you have to do is talk. Trascrizioni podcast
AssemblyAI|assemblyai.com/ | AI models to transcribe and understand speech autochapter frasi chiavi sentiment, sintesi, riconoscimento  topic podcast trascrizioni
Auphonic|https://auphonic.com/|Your AI sound engineer for   podcasts education videos audiobooks radio broadcasts
Audioenhancer.ai|https://audioenhancer.ai/echo-remover/|Audio Enhancer podcast ottimo top
Autodraw ||elabora un disegno ben fatto da un tuo scarabocchio
Azure ml|https://azure.microsoft.com/it-it/products/machine-learning/| Usa un servizio di intelligenza artificiale di livello aziendale per il ciclo di vita end-to-end dell’apprendimento automatico (ML
Bard||old name of google's gemini
Basicpitch|| voice to midi
Bearly|https://bearly.ai/pricing|HyperChat - Reading, writing, and content creation all one shortcut away.AI for Pros. Bearly makes you 10x faster by adding state of the art AI to your workflow. Reading, writing, and content creation all one shortcut away. Interact with any document Analyze and ask questions across any doc. Attach files and continue the conversation. Transcribe audio and video Turn any podcast, youtube video, or meeting recording into a transcript you can interact with. Generate Meeting Minutes and Identify Key Takeaways
Beatoven | https://www.beatoven.ai/|Il tuo AI Companion quotidiano
Bedrock amazon||
Bert|https://huggingface.co/docs/transformers/model_doc/bert|a bidirectional transformer pretrained using a combination of masked language modeling objective and next sentence prediction on a large corpus comprising the Toronto Book Corpus and Wikipedia transformer
Big Jpeg|https://bigjpg.com/|Il migliore per ingrandire le foto. Ai link tool per cambiare stile alle foto e ai video, Top best
Bing / Copilot |https://www.bing.com/copilot|Microsoft ai integration also for office
Blinkshot.io|https://www.blinkshot.io/|top generatore di immagini in tempo reale con tante allucinazioni ma utile
